County,ID,Ordering
Los Angeles,759666,729
Los Angeles,716015,730
Los Angeles,716017,731
Los Angeles,768709,732
Los Angeles,769029,733
Los Angeles,769042,734
Los Angeles,769044,735
Los Angeles,769054,736
Los Angeles,759672,737
Los Angeles,716019,738
Los Angeles,759680,739
Los Angeles,761608,740
Los Angeles,716021,741
Los Angeles,759677,742
Los Angeles,768715,743
Los Angeles,716023,744
Los Angeles,774377,745
Los Angeles,716025,746
Los Angeles,759685,747
Kern,601286,748
Kern,601510,749
Kern,601285,750
Kern,601339,751
Kern,601284,752
Kern,601283,753
Kern,601282,754
Kern,601341,755
Kern,601281,756
Kern,601357,757
Kern,601309,758
Kern,619999,759
Kern,601310,760
Kern,601516,761
Kern,601518,762
Kern,601280,763
Kern,601519,764
Kern,601315,765
Kern,601392,766
Kern,601241,767
Kern,601279,768
Kern,601278,769
Kern,619991,770
Kern,601277,771
Kern,601318,772
Kings,601391,773
Kings,601734,774
Kings,601326,775
Kings,601390,776
Kings,601505,777
Kings,601506,778
Kings,601389,779
Kings,601589,780
Fresno,601590,781
Fresno,601591,782
Fresno,601592,783
Fresno,601731,784
Fresno,601387,785
Fresno,601732,786
Fresno,601386,787
Fresno,601335,788
Fresno,601340,789
Fresno,601336,790
Fresno,601384,791
Fresno,601383,792
Fresno,601337,793
Fresno,601338,794
Merced,1031410,795
Merced,10143810,796
Merced,1031510,797
Merced,1029310,798
Merced,1031610,799
Merced,1031710,800
Merced,1029410,801
Merced,1029510,802
Merced,1031810,803
Merced,1029610,804
Merced,10133010,805
Merced,1029710,806
Merced,1032010,807
Merced,1029810,808
Merced,1032210,809
Merced,1029910,810
Merced,1030110,811
Merced,1032510,812
Merced,10147210,813
Merced,10147510,814
Merced,1032710,815
Merced,10147410,816
Merced,10132110,817
Merced,1030510,818
Stanislaus,10126910,819
Stanislaus,10127110,820
Stanislaus,10127010,821
Stanislaus,10111710,822
Stanislaus,10111810,823
Stanislaus,1007810,824
Stanislaus,10112110,825
Stanislaus,10112410,826
Stanislaus,10112310,827
Stanislaus,10124410,828
Stanislaus,10153310,829
Stanislaus,1015110,830
Stanislaus,1015210,831
San Joaquin,1091810,832
San Joaquin,10119610,833
San Joaquin,1098910,834
San Joaquin,1098810,835
San Joaquin,10156010,836
San Joaquin,1090810,837
San Joaquin,1090710,838
San Joaquin,1088910,839
San Joaquin,1015810,840
San Joaquin,1015910,841
San Joaquin,1026210,842
San Joaquin,1016010,843
San Joaquin,10127210,844
San Joaquin,1088610,845
San Joaquin,1048010,846
San Joaquin,1088510,847
San Joaquin,1048610,848
San Joaquin,1048210,849
San Joaquin,1048310,850
San Joaquin,1088410,851
San Joaquin,1088310,852
San Joaquin,10121610,853
San Joaquin,1090610,854
San Joaquin,10141410,855
San Joaquin,1090410,856
San Joaquin,10121210,857
San Joaquin,10121410,858
San Joaquin,1090210,859
San Joaquin,10121110,860
San Joaquin,1083110,861
San Joaquin,10121310,862
San Joaquin,1082810,863
San Joaquin,10121010,864
San Joaquin,10120910,865
San Joaquin,1087810,866
San Joaquin,1087710,867
San Joaquin,1096910,868
San Joaquin,1096810,869
San Joaquin,1096710,870
San Joaquin,1096410,871
San Joaquin,1096310,872
San Joaquin,1007410,873
San Joaquin,1087610,874
San Joaquin,1087510,875
San Joaquin,1021310,876
San Joaquin,1021410,877
San Joaquin,1086910,878
San Joaquin,1087010,879
San Joaquin,1021510,880
San Joaquin,1016610,881
San Joaquin,1087110,882
San Joaquin,1087210,883
San Joaquin,1027410,884
San Joaquin,1093210,885
San Joaquin,1093110,886
San Joaquin,1083210,887
San Joaquin,1083610,888
San Joaquin,10127510,889
San Joaquin,10131210,890
San Joaquin,10115310,891
San Joaquin,1021910,892
San Joaquin,10151710,893
San Joaquin,1086110,894
San Joaquin,1086210,895
San Joaquin,1022010,896
San Joaquin,10131410,897
San Joaquin,1086010,898
San Joaquin,1022110,899
San Joaquin,10152110,900
San Joaquin,10152210,901
San Joaquin,10152310,902
San Joaquin,1085410,903
San Joaquin,10148810,904
San Joaquin,10148910,905
San Joaquin,10152810,906
San Joaquin,10152610,907
San Joaquin,10152710,908
San Joaquin,1022210,909
San Joaquin,10149410,910
San Joaquin,10149310,911
San Joaquin,1022410,912
San Joaquin,10149510,913
San Joaquin,10115010,914
San Joaquin,10131610,915
San Joaquin,10149610,916
San Joaquin,1022510,917
San Joaquin,1022610,918
San Joaquin,10150110,919
San Joaquin,10150010,920
San Joaquin,1073410,921
San Joaquin,1022710,922
San Joaquin,1077110,923
San Joaquin,1077210,924
San Joaquin,1077310,925
San Joaquin,1084710,926
San Joaquin,1084610,927
San Joaquin,1022910,928
San Joaquin,1082710,929
San Joaquin,1082610,930
San Joaquin,1077910,931
San Joaquin,1073210,932
San Joaquin,1085010,933
San Joaquin,1078010,934
San Joaquin,1085110,935
San Joaquin,1078110,936
San Joaquin,1078210,937
San Joaquin,1084310,938
San Joaquin,1084210,939
San Joaquin,10125010,940
San Joaquin,1083810,941
San Joaquin,1083910,942
Sacramento,10146610,943
Sacramento,3413014,944
Sacramento,3413016,945
Sacramento,317802,946
Sacramento,319256,947
Sacramento,312134,948
Sacramento,311844,949
Sacramento,311864,950
Sacramento,312133,951
Sacramento,311847,952
Sacramento,313159,953
Sacramento,319769,954
Sacramento,319767,955
Sacramento,319768,956
Sacramento,319781,957
Sacramento,319780,958
Sacramento,317830,959
Sacramento,314868,960
Sacramento,314867,961
Sacramento,314869,962
Sacramento,314876,963
Sacramento,314886,964
Sacramento,314885,965
Sacramento,314910,966
Sacramento,314909,967
Sacramento,314780,968
Sacramento,314936,969
Sacramento,314934,970
Sacramento,314792,971
Sacramento,314848,972
Sacramento,314808,973
Sacramento,3026052,974
Sacramento,3026053,975
Sacramento,314955,976
Sacramento,314954,977
Sacramento,314981,978
Sacramento,314983,979
Sacramento,314982,980
Sacramento,315016,981
Sacramento,315017,982
Sacramento,314821,983
Sacramento,315032,984
Sacramento,319307,985
Sacramento,319306,986
Sacramento,315054,987
Sacramento,315053,988
Sacramento,315055,989
Sacramento,3030131,990
Sacramento,3413035,991
Sacramento,3413036,992
Sacramento,3413031,993
Sacramento,315971,994
Sacramento,315969,995
Sacramento,315970,996
Sacramento,315927,997
Sacramento,315928,998
Sacramento,3413041,999
Sacramento,317843,1000
Sacramento,3026092,1001
Sacramento,3026091,1002
Sacramento,3026093,1003
Sacramento,3026024,1004
Sacramento,3026023,1005
Yolo,3028072,1006
Yolo,316096,1007
Yolo,316099,1008
Yolo,3026012,1009
Yolo,3420042,1010
Yolo,3420044,1011
Yolo,3420041,1012
Yolo,3420043,1013
Yolo,3085091,1014
Yolo,3415081,1015
Colusa,3420065,1016
Colusa,3420061,1017
Colusa,3410044,1018
Glenn,3420077,1019
Glenn,3420074,1020
Glenn,3420078,1021
Glenn,3420096,1022
Glenn,3420093,1023
Glenn,3420091,1024
Glenn,3420095,1025
Glenn,3410081,1026
